"SER_NOME","TUR_PERIODO","total_alunos","taxa_acerto_pct"
"1º Ano EF","Integral",4051,78.67
"1º Ano EF","Manhã",14560,79.48
"1º Ano EF","Tarde",18417,78.61
"2º Ano EF","Integral",5199,79.56
"2º Ano EF","Manhã",19256,78.93
"2º Ano EF","Tarde",23642,77.96
"3º Ano EF","Integral",4978,70.2
"3º Ano EF","Manhã",19237,71.08
"3º Ano EF","Tarde",20793,70.17
"4º Ano EF","Integral",4993,63.4
"4º Ano EF","Manhã",19305,63.07
"4º Ano EF","Tarde",18498,62.3
"5º Ano EF","Integral",5043,59.06
"5º Ano EF","Manhã",21076,59.03
"5º Ano EF","Tarde",17646,58.13
"6º Ano EF","Integral",2831,53.81
"6º Ano EF","Manhã",15283,52.32
"6º Ano EF","Tarde",10595,51.32
"7º Ano EF","Integral",2497,49.14
"7º Ano EF","Manhã",13857,48.63
"7º Ano EF","Tarde",8504,48.04
"8º Ano EF","Integral",2202,47.76
"8º Ano EF","Manhã",14087,47.04
"8º Ano EF","Tarde",8407,45.96
"9º Ano EF","Integral",1797,52.23
"9º Ano EF","Manhã",13517,50.45
"9º Ano EF","Tarde",7114,50.22
