"TES_NOME","DIS_NOME","total_alunos","total_acertos","total_erros","taxa_acerto_pct"
"2025_MAT_1ano_Diag","Matemática",34821,477466,79670,85.7
"2025_MAT_2ano_Form1","Matemática",45717,775848,138492,84.85
"2025_MAT_1ano_Form1","Matemática",34997,457266,102702,81.66
"2025_MAT_2ano_Diag","Matemática",45534,711541,199188,78.13
"2025_POR_2ano_Diag","Língua Portuguesa",45543,701718,209142,77.04
"2025_POR_1ano_Form1","Língua Portuguesa",35055,428096,132784,76.33
"2025_POR_2ano_Form1","Língua Portuguesa",45725,677220,237300,74.05
"2025_MAT_3ano_Diag","Matemática",42560,691916,244404,73.9
"2025_POR_1ano_Diag","Língua Portuguesa",34815,401847,155193,72.14
"2025_POR_3ano_Diag","Língua Portuguesa",42603,673200,264066,71.83
"2025_MAT_3ano_Form1","Matemática",41260,629624,278106,69.36
"2025_MAT_5ano_Form1","Matemática",41604,616010,299278,67.3
"2025_MAT_4ano_Form1","Matemática",39055,575992,283218,67.04
"2025_POR_3ano_Form1","Língua Portuguesa",41285,608781,299489,67.03
"2025_MAT_4ano_Diag","Matemática",40513,576830,314456,64.72
"2025_POR_9ano_Form1","Língua Portuguesa",20944,341750,202794,62.76
"2025_POR_5ano_Form1","Língua Portuguesa",41632,566242,349662,61.82
"2025_POR_4ano_Diag","Língua Portuguesa",40530,544182,347478,61.03
"2025_POR_6ano_Form1","Língua Portuguesa",25420,395728,265192,59.88
"2025_POR_9ano_Diag","Língua Portuguesa",21049,327442,219832,59.83
"2025_POR_4ano_Form1","Língua Portuguesa",39099,501746,358428,58.33
"2025_POR_8ano_Form1","Língua Portuguesa",22909,347394,248240,58.32
"2025_POR_7ano_Diag","Língua Portuguesa",23367,352506,255036,58.02
"2025_MAT_6ano_Form1","Matemática",25387,358684,301375,54.34
"2025_POR_5ano_Diag","Língua Portuguesa",41624,493806,421922,53.92
"2025_MAT_5ano_Diag","Matemática",41612,472777,442687,51.64
"2025_POR_6ano_Diag","Língua Portuguesa",26888,356118,342970,50.94
"2025_POR_8ano_Diag","Língua Portuguesa",23223,307429,296369,50.92
"2025_POR_7ano_Form1","Língua Portuguesa",21662,286172,277040,50.81
"2025_MAT_7ano_Form1","Matemática",21592,283145,278247,50.44
"2025_MAT_9ano_Form1","Matemática",20993,240969,304849,44.15
"2025_MAT_6ano_Diag","Matemática",26832,305615,392017,43.81
"2025_MAT_8ano_Form1","Matemática",22923,245621,350377,41.21
"2025_MAT_8ano_Diag","Matemática",23177,220452,382150,36.58
"2025_MAT_9ano_Diag","Matemática",21067,193900,353841,35.4
"2025_MAT_7ano_Diag","Matemática",23334,212032,394652,34.95
