"ESC_NOME","MUN_NOME","total_alunos","total_acertos","total_erros","taxa_acerto_pct"
"EMPEF BREJO GRANDE DO SUL","Itapemirim",19,1484,36,97.63
"EMPEF ROZARIA DA SILVEIRA NUNES","Itapemirim",28,2326,66,97.24
"UMEF PROFESSOR ERNANI SOUZA","Vila Velha",365,25904,2152,92.33
"EMEIEF SANTA LUZIA DO NORTE","Ecoporanga",35,2479,221,91.81
"EMPEF SAO RAFAEL","Domingos Martins",15,1132,108,91.29
"EEEFM MARLENE BRANDAO","Brejetuba",56,3729,435,89.55
"EMEIF PR. LIBERALINO DE SOUSA PROÊZA","Brejetuba",27,1595,195,89.11
"EEEFM José Corrente","Alegre",36,2583,317,89.07
"EUMEF CABECEIRA DO CORREGO BOLIVIA","Governador Lindenberg",16,1161,147,88.76
"EMUEIEF ALTO BATUTA","Baixo Guandu",27,1823,237,88.5
"EMPEIEF CACHOEIRINHA","Rio Novo do Sul",17,1273,167,88.4
"EEEFM ALARICO JOSE DE LIMA","Nova Venécia",36,2355,309,88.4
"EMEF FAZENDA BOA VISTA","Pancas",15,1058,142,88.17
"EMEIEF FAZENDA ALBERTO LITTIG","Laranja da Terra",13,986,142,87.41
"EEEFM JANUÁRIO RIBEIRO ","Pancas",51,2767,399,87.4
"EEEFM MARGEM DO ITAUNINHAS","Pinheiros",15,1017,151,87.07
"EMEF CRUBIXA","Alfredo Chaves",30,2192,328,86.98
"EEFM Padre Afonso Braz","Iúna",65,4265,643,86.9
"EMEIEF ANGELO BRAVIN","Marilândia",41,2647,405,86.73
"EEEFM José Teixeira Fialho","Ecoporanga",30,1935,297,86.69
"EMUEF O FRADE E A FREIRA","Itapemirim",28,1903,297,86.5
"EEEFM SOBRADINHO","Boa Esperança",76,4795,777,86.06
"EMEF BELA AURORA DO PANCAS","Pancas",16,1084,176,86.03
"EP SAO SEBASTIAO","Água Doce do Norte",14,1032,168,86
"ES- EEEF CORREGO DO CEDRO - Estadual","Conceição da Barra",25,1283,213,85.76
"EEPEF MARIA OLINDA DE MENEZES","Pinheiros",24,1535,261,85.47
"EEEFM Elvira Barros","Afonso Cláudio",68,4399,753,85.38
"EMEIF DR ORLINDO FRANCISCO BORGES","João Neiva",69,4287,741,85.26
"EEEFM PROF HERMANN BERGER","Santa Maria de Jetibá",91,5627,977,85.21
"EEEF VIRGINIO PEREIRA","Serra",213,14300,2486,85.19
